year,gender,name,count
2017,F,Alaysha,14
2017,F,Alaysia,165
2017,F,Alayssa,7
2017,F,Alayza,7
2017,F,Alazae,9
2017,F,Alazay,6
2017,F,Alba,84
2017,F,Albany,7
2017,M,Albert,678
2017,M,Alberto,379
2017,M,Aldair,18
2017,M,Alden,346
2017,M,Alder,26
2017,M,Aldo,260
2017,M,Aldrich,6
2017,F,Alea,6
2017,F,Aleah,583
2017,F,Aleana,16
2017,M,Alec,545
2017,M,Aleczander,10
2017,F,Aleeah,10
2017,F,Aleen,31
2017,F,Aleena,509
2017,F,Aleenah,23
2017,F,Aleeya,19
2017,F,Aleeyah,23
2017,F,Aleeza,47
2017,F,Aleia,28
2017,F,Aleida,20
2017,F,Aleigha,120
2017,F,Aleina,26
2017,F,Aleisha,11
2017,M,Aleister,12
2017,F,Alejandra,566
2017,M,Alejandro,2025
2017,M,Alek,57
2017,M,Aleksandar,7
2017,M,Aleksander,110
2017,M,Aleksandr,32
2017,F,Aleksandra,54
2017,M,Aleksey,13
2017,M,Alekzander,17
2017,M,Alen,14
2017,F,Alena,427
2017,F,Alenna,5
2017,F,Alesana,6
2017,F,Alesandra,5
2017,F,Alesha,7
2017,F,Alesia,5
2017,F,Alessa,88
2017,F,Alessandra,995
2017,F,Alessandria,6
2017,M,Alessandro,353
2017,F,Alessia,431
2017,M,Alessio,62
2017,M,Alesso,6
2017,F,Alethea,15
2017,F,Aletheia,11
2017,F,Alex,125
2017,M,Alex,2589
2017,F,Alexa,3881
2017,F,Alexander,6
2017,M,Alexander,12546
2017,F,Alexandra,2596
2017,M,Alexandre,37
2017,F,Alexandrea,10
2017,F,Alexandria,1228
2017,M,Alexandro,38
2017,M,Alexandros,5
2017,M,Alexavier,29
2017,M,Alexei,11
2017,M,Alexey,22
2017,F,Alexi,15
2017,M,Alexi,5
2017,F,Alexia,729
2017,F,Alexie,8
2017,F,Alexis,2052
2017,M,Alexis,776
2017,F,Alexsa,6
2017,F,Alexus,5
2017,F,Alexxa,20
2017,M,Alexzander,175
2017,F,Aleya,15
2017,F,Aleyah,48
2017,F,Aleyda,29
2017,F,Aleyna,79
2017,F,Aleyshka,5
2017,F,Aleyssa,6
2017,F,Aleyza,31
2017,M,Alfie,5
2017,M,Alfonso,229
2017,M,Alfonzo,5
2017,M,Alfred,206
2017,M,Alfredo,415
2017,F,Ali,50
2017,M,Ali,1084
2017,F,Alia,411
2017,F,Aliah,170
2017,F,Aliana,284
